id,audit,severity,status,surface,evidence,root_cause,fix,validation
FRONT-005,A2 Frontend state/event lifecycle,S2,verified-code,Operator diagnostics UX,"src/lib/tauri.ts exposes debugChatProviderSmoke/getLastChatAttemptTrace, but SettingsDialog:683-696 only says ChatAttemptTraceV1 is backend-owned.",Existing diagnostic primitives are not exposed to the operator at the point of failure.,"Add buttons: Run Ollama provider smoke, Copy last ChatAttemptTraceV1, Copy redacted provider config summary.","Manual/UI smoke: click provider smoke, result includes phase/provider/base URL class/first_token_seen/done_seen/assistant_persisted/error."
PROVIDER-001,A3 Provider settings/network/model registry,S1,verified-code-conditional,Provider URL validation,src-tauri/src/providers/mod.rs:14 only lists localhost/127.0.0.1/::1; 178-184 restricts Ollama/LlamaCpp to loopback; 536-551 tests LAN URL rejection.,Gloss supports only loopback local providers despite common operator topology where Ollama runs on LAN host.,"Do not silently allow all LAN. Add explicit allow_lan_local_providers setting, default false; allow RFC1918/private LAN only when enabled; still reject public IP, credentials, query, fragment.",Provider tests: loopback allowed by default; LAN rejected by default; LAN accepted with opt-in; public/credential/query/fragment URLs rejected.
PROVIDER-002,A3 Provider settings/network/model registry,S1,verified-code,Default model selection,src/stores/settingsStore.ts:31/40 defaults to qwen3:8b; src-tauri/src/db/migrations.rs:72-73 seeds default_model qwen3:8b; provider registry requires selected model to exist.,Default model can be stale/missing for a user’s Ollama instance; chat then fails before request.,"On model refresh/provider save, verify default_model exists. If absent, auto-select first compatible Ollama model only with user-visible notice, or block with explicit model-selection error.",Fixture with no qwen3:8b but one Ollama model: Settings prompts/selects valid model; chat smoke uses selected model.
PROVIDER-003,A3 Provider settings/network/model registry,S2,verified-code,Provider Test button,SettingsDialog ProviderSection:146-156 calls testProvider and reports reachable; it does not invoke /api/chat with selected model.,Connectivity health check is being conflated with chat readiness.,Separate Provider Reachable from Chat Smoke. Chat smoke must call debug_chat_provider_smoke with selected model and prompt.,UI shows both base connectivity and selected-model chat smoke result; failure includes trace phase.
PROVIDER-004,A3 Provider settings/network/model registry,S2,verified-code,Provider save/model refresh,SettingsDialog handleProviderSave:361-380 updates provider and loadSettings but does not refresh model registry.,Provider URL changes can leave model registry/default model stale.,"After provider save, run refreshModels or mark models stale and require refresh before chat smoke/send.",Changing Ollama URL updates models/default model state before chat can be sent.
PROVIDER-005,A3 Provider settings/network/model registry,S2,verified-code,Ollama JSON decoding,src-tauri/src/providers/ollama.rs:173-220 streams via llm_pipeline::StreamingDecoder; observed decoder silently ignores invalid JSON lines in Libraries/llm-pipeline.,"Malformed provider frames can be dropped, delaying first-token/done diagnosis.",Make streaming decoder emit bounded decode error with chunk digest/line count after malformed frame threshold; do not silently ignore all invalid frames.,"Malformed NDJSON fixture produces provider_stream_decode_error, not spinner/empty response."
PERSIST-001,A4 Persistence/retrieval/receipts,S0,verified-code,Durable assistant message,"NotebookDb::insert_message does not insert created_at, relying on DB default, but chat path emits done even if insert_message fails.",Persistence failure is not treated as terminal failure.,Treat assistant insert failure as chat:error and persist partial/error artifact if possible. Never emit success done without durable assistant or explicit partial failure receipt.,"DB failure fixture; final UI state shows error and partial recovery, not successful assistant message."
PERSIST-002,A4 Persistence/retrieval/receipts,S1,verified-command,Retrieval integration gate,"scripts/audit_chat_path_integration.py failed: missing GlossLocalMemoryBackend::new, allow_fallback:true, raw-content-text-fallback, backend_used tracking/order.","Active chat retrieval path does not satisfy the project’s own static integration contract, or the contract script is stale. Either way, the gate is not reliable green proof.",Inspect actual retrieval path and update code or gate. Track requested backend and actual backend_used distinctly; prove fallback order and evidence disclosure.,audit_chat_path_integration.py passes after source-backed fix; retrieval fixture verifies backend_used/source disclosure.
PERSIST-003,A4 Persistence/retrieval/receipts,S1,verified-command,Retrieval disclosure receipt,scripts/audit_retrieval_disclosures.py --latest returned no_receipts / no retrieval disclosure receipt found.,"The latest run lacks a current retrieval disclosure receipt, or the validator cannot find it.",Write RetrievalDisclosureReceiptV1 for latest chat/retrieval flows; update validator to locate current run consistently.,audit_retrieval_disclosures.py --latest returns ok and cites latest receipt path.
PERSIST-004,A4 Persistence/retrieval/receipts,S2,verified-code,Frontend partial output,chatStore on error keeps streamingContent but does not create durable assistant/partial message.,"Partial-generation recovery is UI-local, not durable/reloadable.","On backend error with partial content, persist PartialGenerationReceipt and expose recovery action to save/discard partial.",Timeout/error fixture with partial tokens survives reload or is explicitly marked non-recoverable.
PERSIST-005,A4 Persistence/retrieval/receipts,S2,verified-code,Evidence emission order,"Backend emits evidence and done after assistant insertion attempt, but insert failure path only warns and can still emit done/evidence.",Evidence/terminal events are not gated on persistence success.,"Gate evidence and done on persistence; if evidence generation succeeds but message persistence fails, write evidence to failed-partial artifact and emit error.",DB failure + evidence fixture proves no orphan evidence attached to nonexistent assistant.
RELEASE-001,A5 Release/package/security/validation,S0,verified-receipt-drift,Run receipts,FINAL_RECEIPT.json says release_candidate_gate_passed=true; RELEASE_CANDIDATE_GATE_RESULTS.json says release_candidate_gate_passed=false and shows package scope gate failed.,Final receipt promoted a false pass despite aggregate gate failure.,"Generate final receipt from gate results, not independent prose. Add cross-check: final release_candidate_gate_passed must equal RELEASE_CANDIDATE_GATE_RESULTS value.",Validator fails if final receipt contradicts gate result.
RELEASE-002,A5 Release/package/security/validation,S0,verified-package,Validation package completeness,Report/findings warn run_all_checks references validation/gloss_secret_store_permissions_gate.py but file is excluded as secret-like-filename.,"Packager secret-like filename policy excludes an active validation script, breaking fresh replay.",Rename script to non-secret filename or teach packager allowlist for validation script path with content redaction check. run_all_checks must reference included files only.,Fresh unzip: run_all_checks does not reference any missing path; package report has no script-ref-not-archived.
RELEASE-003,A5 Release/package/security/validation,S0,verified-command,Package scope,gloss_package_scope_gate.py fails/no package manifest found in current extract; current run gate result also failed because manifest included 50 top-level paths outside Gloss/Libraries.,"Context package is rooted at /Coding and includes unrelated root files, not a clean Gloss package boundary.",Produce separate artifacts: Codex context pack may include selected Libraries; release/source package must be rooted at Gloss only with explicit external dependency manifest.,gloss_package_scope_gate.py passes in fresh unzip and rejects unrelated top-level files.
RELEASE-004,A5 Release/package/security/validation,S1,verified-package,Run truth drift,Codex archive sidecar reports current_run P30 while CURRENT_RUN files report GLOSS_TOTAL_COMPLETION_AND_HARDENING_SUPERPASS_20260526.,Multiple current-run truth surfaces are not reconciled during packaging.,Define one CurrentRunTruthV1 source and have sidecars/project docs project from it. Gate all mismatches.,"current run truth gate checks CURRENT_RUN, docs/CURRENT_RUN, codex-archive, final receipt, package metadata."
RELEASE-005,A5 Release/package/security/validation,S1,verified-command,Aggregate validation robustness,gloss_release_candidate_gate.py timed out under external 20s timeout during audit; the package contains existing failed gate results.,Aggregate gate lacks bounded child-process stop law/structured timeout reporting or performs slow work without progress receipts.,Each child validation must have per-command timeout and structured timeout result. Aggregate must never hang; it returns failed with timeout artifact.,"Run gate under 20s/60s timeout on fresh package; it returns JSON failure/pass, never hangs."
RELEASE-006,A5 Release/package/security/validation,S1,verified-command,Security capability gate,scripts/audit_tauri_security.py failed with dialog:allow-save not justified by current frontend usage.,"Either Tauri permission surface is wider than proven usage or the audit script is stale relative to export UI. In both cases, current security proof is failing.",Inventory all dialog save/open calls. Remove unjustified permissions or update validator with exact frontend evidence; no broad allow without path/operation rationale.,audit_tauri_security.py passes and emits permission-to-callsite mapping.
RELEASE-007,A5 Release/package/security/validation,S1,verified-package,Expected root files not packaged,"Report/findings show rust/node/git expected files not packaged: Cargo.toml, Cargo.lock, README, LICENSE, package.json, .gitignore at archive root.",Archive root and package profile disagree about what the project root is.,"Make packager aware of app root vs archive root. Expected file checks should evaluate Gloss root, not /Coding root, or package should be rooted at Gloss.",Expected-file warnings disappear or are explicitly scoped to Gloss root.
RELEASE-008,A5 Release/package/security/validation,S2,verified-package,Secret scanning/false positives,"Findings warn secret-like content in AGENT-SYSTEM.md, ollama_relevant_lines.txt, and ollama.rs; also excludes many vendor test cert/private-key fixture paths and the validation gate script.","Secret scanner mixes real secret risk, test fixtures, vendor fixtures, and script names without classification.","Classify secret findings into real secret, test fixture, vendor fixture, validation script false positive. Redact real secrets; allow/manifest known fixtures by digest.",Secret scan output has zero unclassified findings and no active validation script excluded.
BUILD-001,A5 Release/package/security/validation,S0,environment-limited,Rust build/test proof,"cargo/rustc were unavailable in this sandbox, so Rust checks could not be independently verified here.",Current audit environment cannot execute Rust validation; prior receipts must not be treated as fresh proof.,Codex/local run must execute cargo fmt/check/test/clippy on Josh machine and include logs/receipts in a fresh package.,Fresh command receipts for cargo fmt/check/test/clippy with exact toolchain/version and pass/fail/skipped reasons.
