feature_id,feature_name,category,current_status,evidence,missing_work,rc_required,broad_required,owner_module,dependencies,tests,receipts,phase,claim_boundary
F012,Audio metadata/transcription,ingestion,partial,ffprobe metadata extraction with ToolInvocationReceiptV1 and optional cached Whisper CLI transcription with AudioProcessingMetadataV1 are implemented,diarization speaker labels automatic model download GPU scheduling live long-audio benchmark,no,yes,ingestion/audio,ffprobe + cached whisper CLI,audio_metadata + whisper_transcript tests + audio transcription gate,AudioMetadataReceiptV1; AudioTranscriptionReceiptV1,P096-P098,claim metadata plus cached local Whisper transcription only
F013,TTS/audio overview,studio,missing,broad spec only,Piper/ffmpeg design,no,yes,studio/audio,piper/ffmpeg,tts fixture,AudioOverviewReceiptV1,P099-P101,blocked behind RC
F014,BM25/FTS5 retrieval,retrieval,implemented_unproven,FTS/retrieval gates pass,live receipt and citation proof,yes,yes,retrieval/db,rusqlite FTS5,retrieval fixtures,RetrievalReceiptV1,P020-P030,safe after gate
F015,FastEmbed dense indexing,retrieval,implemented_unproven,FastEmbed native path exists,indexed_chunks live proof,yes,yes,"ingestion/embed,state",fastembed,embedding fixture,DenseIndexingReceiptV1,P010-P020,no claim until indexed_chunks>0
F016,HNSW/usearch,retrieval,implemented_unproven,usearch dep and index path exist,persist/reload/search proof,yes,yes,retrieval/vector,usearch,hnsw fixture,VectorIndexReceiptV1,P020-P030,requires live proof
F017,Hybrid retrieval,retrieval,implemented_unproven,gloss_retrieval_gate passes,answer evidence proof,yes,yes,retrieval,FTS+FastEmbed+usearch,hybrid fixture,RetrievalReceiptV1,P020-P030,requires answer evidence
F018,Citation anchors,retrieval,partial,evidence UI gate passes,strict source span/citation proof,yes,yes,retrieval/citations,internal,citation fixture,CitationReceiptV1,P040-P046,not broad claim without proof
F019,semantic-memory runtime truth,semantic-memory,partial,hard spec requires it; not canonical,create backend command/answer ref,yes,yes,memory/settings/chat,semantic-memory,truth fixtures,SemanticMemoryRuntimeTruthV1,P010-P015,settings not proof
F020,RetrievalCapabilityDecisionV1,semantic-memory,partial,type exists but dead/parallel,make canonical,yes,yes,memory/types/chat/ui,internal,decision fixture,RetrievalCapabilityDecisionV1,P016-P020,must drive UI
F021,semantic-memory strict proof,semantic-memory,missing,live receipts negative,strict no-fallback fixture,yes,yes,memory/chat/sources,semantic-memory,strict fixture,SemanticMemoryProjectionReceiptV1,P021-P029,no claim until backend_used semantic
F022,TurboQuant contribution,turboquant,implemented_unproven,"compiled/static, live exact missing",artifact digest + exact rerank,yes,yes,memory/semantic_memory_adapter,turbo-quant,tq fixture,TurboQuantRuntimeReceiptV1,P030-P036,claim demote if not proven
F023,Provider settings,providers,partial,provider config exists,decoding settings/capability matrix,yes,yes,providers/settings,Ollama/OpenAI/Anthropic,settings tests,DecodingSettingsReceiptV1,P006-P012,provider-aware only
F024,Temperature setting,providers,partial,hardcoded 0.7 in chat path,move to settings/effective receipt,yes,yes,chat/providers/settings,internal,temp tests,DecodingSettingsReceiptV1,P006-P012,must display per answer
F025,top_k/top_p/min_p/etc settings,providers,missing,ChatRequest lacks fields,add provider-specific capability map,yes,yes,providers/settings/ui,Ollama options,provider tests,DecodingSettingsReceiptV1,P006-P012,unsupported fields explicit
F026,GenerationReceiptV1,receipts,partial,all-in-one pack has schema; current app incomplete,persist/attach sample,yes,yes,chat/db/ui,internal,receipt tests,GenerationReceiptV1,P013-P018,no fake capture
F027,PromptReceiptV1,receipts,partial,all-in-one pack has schema; current app incomplete,capture hash/redaction states,yes,yes,chat/context/ui,internal,prompt tests,PromptReceiptV1,P013-P018,redact honestly
F028,Timeout + partial continuation,generation,partial,streaming exists; timeout issues observed,"40% timeout increase, partial persistence",yes,yes,chat/store/ui,internal,timeout tests,TimeoutChangeReceiptV1,P019-P024,partial output preserved
F029,Inspector Dock,ui,partial,plan update promotes it,minimal tabs implementation,yes,yes,src/components,React/Zustand,ui tests,InspectorDockReceiptV1,P040-P048,right panel truth surface
F030,Notes preservation,ui,implemented_unproven,notes panel exists,no regression under dock,yes,yes,notes components/store,React/Zustand,notes tests,UIPreservationReceiptV1,P040-P048,must not break notes
F031,Source health dashboard,ui,partial,status shown but fragmented,backend truth + source health tab,yes,yes,sources/statusbar/ui,internal,source health tests,SourceHealthReceiptV1,P049-P054,no local guesses
F032,Queue truth,jobs,partial,queue status exists but pending/running confusion,split pending/processing,yes,yes,jobs/statusbar,tauri-queue,queue tests,QueueStatusReceiptV1,P055-P059,lag diagnosis
F033,Quiet mode,jobs,missing,needed for local model/backfill,pause summaries/projection/dense,yes,yes,jobs/settings/ui,internal,quiet tests,QuietModeReceiptV1,P055-P059,RC useful
F034,Package scope cleanup,packaging,partial,package includes unrelated root docs,scope to Gloss+explicit deps,yes,yes,z.py/scripts,packager,package audit,PackageScopeReceiptV1,P060-P065,avoid Codex contamination
F035,Current run sidecar truth,packaging,partial,codex sidecar says P30,derive from CURRENT_RUN,yes,yes,scripts/z.py,packager,sidecar test,CurrentRunTruthReceiptV1,P060-P065,S0
F036,Fresh unzip replay,release,implemented,Fresh replay gate builds current Gloss plus Libraries source zip extracts it to a temp tree verifies required paths runs active gates and cargo metadata from extracted copy,live desktop GUI smoke and installed-launch/AppImage smoke remain separate release gates,yes,yes,validation/docs,python/zip/cargo,fresh replay,GlossFreshUnzipReplayReceiptV1,P066-P071,claim source replay only not installer workflow smoke
F037,Desktop smoke,release,partial,current harness writes LIVE_DESKTOP_SMOKE_RECEIPT.json with scripted contract pass and capability probes but live_desktop_exercised=false because no active automated live GUI driver exists,add live GUI driver and release-grade desktop receipt,yes,yes,scripts/app,tauri,desktop smoke,LiveDesktopSmokeReceiptV1,P066-P071,release gate
F038,Studio summaries,studio,partial,deterministic source-bound summary artifacts persist through Studio backend command; background source summaries remain separate,no,yes,studio,internal,cargo test studio + studio artifacts gate,StudioArtifactReceiptV1,P102-P106,claim backend deterministic artifact only
F039,Reports/flashcards/quizzes,studio,partial,deterministic source-bound report summary outline FAQ flashcards quiz and action-plan artifacts persist through Studio backend command and Inspector Dock Studio panel with JSON export; LLM workflow missing,model-generated Studio workflow with prompt/generation receipts,no,yes,studio/ui,internal,cargo test studio + npm test + studio artifacts gate,StudioArtifactReceiptV1; StudioExportReceiptV1,P107-P110,claim deterministic source-bound artifacts and JSON export only
F040,Mind maps/timelines,studio,partial,deterministic source-bound mind map timeline and compare-table artifacts persist through Studio backend command and Inspector Dock Studio panel with JSON export; LLM workflow missing,model-generated Studio workflow with prompt/generation receipts,no,yes,studio/ui,internal,cargo test studio + npm test + studio artifacts gate,StudioArtifactReceiptV1; StudioExportReceiptV1,P107-P110,claim deterministic source-bound artifacts and JSON export only
F041,Notebook export/import,storage,implemented,compressed .glosspkg.tar.gz archive export/import wraps a strict validated package with notebook.db sources embeddings manifest digest export/import receipts per-file SHA-256 validation bounded archive extraction and sidebar UI validation before import,app-level fresh-unzip replay and installed-launch/AppImage smoke tracked by release packaging issues,yes,yes,db/export/ui,sqlite/json/tar.gz/npm test plus npm run build plus cargo test portable and notebook portability gate,NotebookExportReceiptV1; NotebookImportReceiptV1,P104-P106,claim notebook archive portability only
F042,DB doctor/repair,storage,partial,backend doctor detects source-count drift missing notebook DBs orphan notebook auxiliary rows failed-import source rows and stale queue jobs with receipt-bearing repair; Settings diagnostics UI can run check/repair and display queue/quarantine receipt fields; Sources panel exposes failed-import review quarantine delete workflow with receipts,full database recovery and historical failed-import batch replay,no,yes,db/ui,sqlite,doctor tests + stale_queue + failed_import_quarantine + npm contract,DbDoctorReceiptV1; FailedImportQuarantineReceiptV1,P104-P106,claim backend doctor Settings check/repair UI stale queue cancellation and failed-import review/quarantine/delete workflow only
F043,Security/privacy release,security,partial,"security doc exists, audit passes","API key, prompt redaction, package review",yes,yes,settings/secret/ui,aes-gcm/Tauri,security tests,SecurityReviewReceiptV1,P068-P072,release gate
F044,Public README claim boundary,docs,partial,PUBLIC_CLAIM_DIFF exists,update after receipts,yes,yes,README/docs,n/a,claim review,PublicClaimDiff.md,P070-P074,no overclaim
F045,Large notebook performance,performance,partial,folder import terminal receipts include ImportBatchPerformanceReceiptV1 per-phase timing and throughput; frontend completion feedback can surface elapsed seconds; no benchmark corpus or virtualization/frame-budget receipt yet,large-notebook benchmark corpus and UI/frame-budget receipt,no,yes,ui/retrieval/jobs,React/db,import timing test + performance gate,ImportBatchPerformanceReceiptV1,P106-P110,claim import batch telemetry only
F046,Installer package smoke,release,partial,tauri release build now emits deb and rpm packages; installer smoke validates metadata digests dependencies desktop entries binary payload icons and isolated installed-package launch with app DB creation using INSTALLER_SMOKE_RECEIPT.json,post-launch workflow smoke and AppImage target remain unproven,yes,yes,tauri/packaging,rpm+deb,installer smoke,GlossInstallerSmokeReceiptV1,P066-P075,claim deb/rpm package payload and isolated launch smoke only
