issue_id,severity,family,title,evidence,likely_root_cause,fix_direction,acceptance_test,status,source
GLOSS-S0-007,S0,existing_issue,,exact rerank/artifact missing,compile proof only,runtime exact rerank/artifact digest or demote,,open_blocker,07_MASTER_ISSUE_LEDGER.csv
GLOSS-S0-008,S0,existing_issue,,temperature hardcoded 0.7,ChatRequest too narrow,GenerationSettings + provider capability map,,open_blocker,07_MASTER_ISSUE_LEDGER.csv
GLOSS-S0-009,S0,existing_issue,,prompt/effective request not captured fully,missing receipt schemas/storage,PromptReceiptV1 + GenerationReceiptV1,,open_blocker,07_MASTER_ISSUE_LEDGER.csv
GLOSS-S0-010,S0,existing_issue,,long local gen times out,timeout too short/no partial continuation,40% increase + partial persistence + continuation,,open_blocker,07_MASTER_ISSUE_LEDGER.csv
GLOSS-S0-011,S0,existing_issue,,sidecar current_run P30,packager reads stale/default run,derive from CURRENT_RUN,,open_blocker,07_MASTER_ISSUE_LEDGER.csv
GLOSS-S0-012,S0,existing_issue,,archive includes unrelated Coding root docs,archive root too broad,scope Gloss + explicit deps,,open_blocker,07_MASTER_ISSUE_LEDGER.csv
OBS-S0-001,S0,release_truth,Aggregate release candidate gate reports release_ready=false,"validation/gloss_release_candidate_gate.py --repo . --run-id CURRENT returned ok=false with failed stale_pass_surface, package_scope, timeout_partial_continuation, live_semantic_memory_smoke, turboquant_runtime.",Completion docs outran live receipts and active gates.,Repair all failed gates; prohibit release-ready language until aggregate gate returns release_ready=true.,python3 validation/gloss_release_candidate_gate.py --repo . --run-id CURRENT returns release_ready true and writes current run receipt.,open_superpass,generated_audit
OBS-S0-002,S0,package_scope,Package scope gate fails: no Gloss package manifest found,validation/gloss_package_scope_gate.py --repo . returned ok=false: no Gloss package manifest found.,Root-package archive and repo-local package manifest are not aligned; archive root included /Coding-level material.,Create canonical Gloss package manifest under Gloss root; force package builder to use Gloss package scope; gate unrelated root docs.,python3 validation/gloss_package_scope_gate.py --repo . passes on fresh package.,open_superpass,generated_audit
OBS-S0-003,S0,current_run_truth,Current run identifiers drift across docs/manifests,README.md advertises GLOSS_RELEASE_PROOF_EMBEDDING_UNIFICATION_CLEANUP_20260525; docs/codex-runs/CURRENT_RUN.md says P30; PACK_MANIFEST.json says GLOSS_TOTAL_COMPLETION_RC_PROOF_SUPERPASS_20260526.,Multiple Codex passes left contradictory run truth surfaces.,"One current run ID only, reflected in AGENTS.md, README, PACK_MANIFEST, CURRENT_RUN, docs/codex-runs/<RUN_ID>, and validation outputs.",python3 validation/gloss_current_run_truth_gate.py --repo . passes.,open_superpass,generated_audit
OBS-S0-004,S0,source_truth,No git metadata in extracted package,git status and git rev-parse failed in /mnt/data/gloss_repo/Gloss.,"z.py package excluded .git, so commit/dirty/branch proof cannot be established from package alone.","For Codex run use real git checkout; if using package, require source manifest digest and explicit non-git provenance receipt.","startup_preflight.json records branch, commit, dirty state or non-git package digest with waiver.",open_superpass,generated_audit
OBS-S0-005,S0,build_proof,Rust toolchain unavailable in this validation environment,cargo fmt/check/test/clippy could not run because cargo was not found.,Current environment is not enough to prove Rust/Tauri correctness.,Codex preflight must require cargo/rustup installed before implementation/claiming Rust success.,cargo fmt --all -- --check && cargo check --workspace --all-targets && cargo test --workspace --all-targets && cargo clippy --workspace --all-targets -- -D warnings.,open_superpass,generated_audit
OBS-S0-006,S0,semantic_memory,Live semantic-memory smoke receipt missing,validation/gloss_live_semantic_memory_smoke_gate.py --repo . returned ok=false: LIVE_SEMANTIC_MEMORY_SMOKE_RECEIPT.json missing.,Semantic-memory path has compile/static surfaces but not live proof.,Create live fixture notebook; ingest/chunk/project/query using semantic-memory backend and emit receipt.,python3 validation/gloss_live_semantic_memory_smoke_gate.py --repo . passes.,open_superpass,generated_audit
OBS-S0-007,S0,turboquant,TurboQuant runtime receipt missing,validation/gloss_turboquant_runtime_gate.py --repo . returned ok=false: TURBOQUANT_RUNTIME_RECEIPT.json missing.,TurboQuant claims are not backed by runtime exact-rerank/vector artifact proof.,"Implement or demote TurboQuant claims; if implemented, produce exact proof artifact and receipt.",python3 validation/gloss_turboquant_runtime_gate.py --repo . passes with exact proof or explicit demotion.,open_superpass,generated_audit
OBS-S0-008,S0,timeouts,Timeout partial-continuation receipt missing,validation/gloss_timeout_partial_continuation_gate.py --repo . returned ok=false: TimeoutChangeReceiptV1 receipt missing.,Long-generation reliability repair lacks receipt and source-level partial persistence/continuation proof.,"Implement timeout budget increase, partial response persistence, continuation affordance, and TimeoutChangeReceiptV1.",python3 validation/gloss_timeout_partial_continuation_gate.py --repo . passes plus simulated timeout test.,open_superpass,generated_audit
OBS-S0-009,S0,chat_receipts,Generation receipts only persisted on successful completed stream,src-tauri/src/commands/chat/mod.rs constructs GenerationReceiptV1 at stream success around lines 3220-3235; timeout/error paths return before assistant message/receipt persistence.,Streaming error/timeout path is not receipt-bearing and loses partial state.,"Persist PartialGenerationReceiptV1/GenerationReceiptV1 for success, error, timeout, cancellation, truncation, and incomplete stream; attach to UI evidence.","Cargo test simulates first-token timeout, idle timeout, incomplete stream, cancellation and verifies persisted receipts.",open_superpass,generated_audit
OBS-S0-010,S0,broad_spec_ingestion,Core broad-spec document formats need bounded proof,"PDF/DOCX/XLSX/PPTX/EPUB now have bounded extractors; legacy DOC/XLS/PPT now route through antiword/xls2csv/catppt with redacted runtime receipts. CSV/HTML remain degraded text paths.",Feature matrix now reflects degraded document extraction rather than binary exclusion.,"Add richer layout/OCR/table/rendering fidelity only with dialect receipts; no silent text fallback.",Fixture import tests and document/legacy Office gates.,partial_p7_legacy_office_extractors_verified,generated_audit
OBS-S0-011,S0,studio,Studio outputs need product surface,"Studio now has deterministic source-cited backend artifacts plus Inspector Dock Studio panel generation/history/proof display and receipt-bearing JSON export.",Broad spec Studio outputs are no longer placeholder-only; model-generated workflows remain separate.,"Add optional model-generated Studio path only with prompt/generation receipts and schema validation.",cargo test --manifest-path src-tauri/Cargo.toml studio -- --nocapture && npm test && python3 validation/gloss_studio_artifacts_gate.py --repo .,partial_p7_studio_ui_export_verified,generated_audit
GATE-003-decoding_settings,S1,acceptance_gate,Acceptance gate must pass: decoding_settings,phase_range=P006-P012; command_or_test=validation/gloss_decoding_settings_gate.py; expected=effective settings captured; failure_action=block generation receipts,Gate currently represents required release/spec proof; some gates fail in current extracted package or are not proven in this environment.,"Implement missing code, receipts, fixtures, and current-run docs until gate passes without suppression.",validation/gloss_decoding_settings_gate.py,must_pass,VALIDATION/acceptance_gate_matrix.csv
GATE-004-prompt_generation_receipts,S1,acceptance_gate,Acceptance gate must pass: prompt_generation_receipts,phase_range=P013-P018; command_or_test=generation/prompt receipt tests; expected=sample receipts valid; failure_action=block inspector release,Gate currently represents required release/spec proof; some gates fail in current extracted package or are not proven in this environment.,"Implement missing code, receipts, fixtures, and current-run docs until gate passes without suppression.",generation/prompt receipt tests,must_pass,VALIDATION/acceptance_gate_matrix.csv
GATE-007-retrieval_decision,S1,acceptance_gate,Acceptance gate must pass: retrieval_decision,phase_range=P016-P028; command_or_test=decision tests; expected=one canonical object; failure_action=block answer evidence,Gate currently represents required release/spec proof; some gates fail in current extracted package or are not proven in this environment.,"Implement missing code, receipts, fixtures, and current-run docs until gate passes without suppression.",decision tests,must_pass,VALIDATION/acceptance_gate_matrix.csv
GATE-008-strict_semantic_memory,S1,acceptance_gate,Acceptance gate must pass: strict_semantic_memory,phase_range=P021-P033; command_or_test=live semantic smoke; expected=backend_used semantic-memory-preview; failure_action=block semantic claim,Gate currently represents required release/spec proof; some gates fail in current extracted package or are not proven in this environment.,"Implement missing code, receipts, fixtures, and current-run docs until gate passes without suppression.",live semantic smoke,must_pass,VALIDATION/acceptance_gate_matrix.csv
GATE-010-inspector_dock,S1,acceptance_gate,Acceptance gate must pass: inspector_dock,phase_range=P040-P048; command_or_test=UI smoke/tests; expected=tabs render and Notes preserved; failure_action=block RC UI,Gate currently represents required release/spec proof; some gates fail in current extracted package or are not proven in this environment.,"Implement missing code, receipts, fixtures, and current-run docs until gate passes without suppression.",UI smoke/tests,must_pass,VALIDATION/acceptance_gate_matrix.csv
GATE-011-queue_truth,S1,acceptance_gate,Acceptance gate must pass: queue_truth,phase_range=P055-P059; command_or_test=queue tests; expected=pending vs processing split; failure_action=block lag truth,Gate currently represents required release/spec proof; some gates fail in current extracted package or are not proven in this environment.,"Implement missing code, receipts, fixtures, and current-run docs until gate passes without suppression.",queue tests,must_pass,VALIDATION/acceptance_gate_matrix.csv
GATE-013-broad_spec,S1,acceptance_gate,Acceptance gate must pass: broad_spec,phase_range=P076-P110; command_or_test=broad spec gate; expected=all broad phases pass; failure_action=block broad claim,Gate currently represents required release/spec proof; some gates fail in current extracted package or are not proven in this environment.,"Implement missing code, receipts, fixtures, and current-run docs until gate passes without suppression.",broad spec gate,must_pass,VALIDATION/acceptance_gate_matrix.csv
GLOSS-NP34-S1-008,S1,existing_issue,,"UI shows Backend requested semantic-memory-preview, Backend used gloss-local, Retrieval bm25-only, Memory semantic-memory-preview failed, Dense coverage 0/294. Log says native dense warmup skipped because native indexing disabled or scope empty.","Requested backend, effective backend, feature availability, projection readiness, and fallback reason are spread across fields and can look contradictory.","Create RetrievalCapabilityDecisionV1 with requested_backend, effective_backend, decision_reason, build_feature_available, runtime_enabled, projection_ready, dense_ready, fallback_allowed, degraded. UI renders this one object.",,closed_p3_verified,ISSUE_LEDGER.csv
GLOSS-NP34-S1-009,S1,existing_issue,,chat/mod.rs sets source_scope_preserved to invalid_source_ids.is_empty(); gloss_local and semantic adapter provenance use source_scope_preserved=true even when fallback/degraded/filtering may occur.,"Preservation is treated as valid-ID check only; it ignores fallback type, missing chunks, semantic backpointer filtering, unanchored passages, and strict scope enforcement path.","Derive SourceScopeIntegrityV1: requested ids valid, effective ids match allowed set, no out-of-scope candidates, no unanchored context, fallback class allowed, projection links preserved. Only then preserved=true.",,closed_p3_verified,ISSUE_LEDGER.csv
GLOSS-NP34-S1-010,S1,existing_issue,,"check:sm-tq-profile fails because scripts expect src-tauri/src/db/notebook_db.rs, src-tauri/src/commands/sources.rs, src-tauri/src/commands/chat.rs, src/components/settings/SettingsDialog.tsx, which were refactored to mod.rs/index.tsx paths.",Validators hard-code pre-refactor paths instead of using a source path map.,Add scripts/gloss_source_path_map.py and update all validators to read current files; stale-path references become release blockers.,,closed_p0_verified,ISSUE_LEDGER.csv
GLOSS-NP34-S1-011,S1,existing_issue,,"package.json desktop-smoke now points to the active current-run harness and writes LIVE_DESKTOP_SMOKE_RECEIPT.json, but the receipt records live_desktop_exercised=false and release_grade=false because no active automated live GUI driver exists.",Prior p33 script drift was repaired; release proof still requires an automated live Tauri GUI import/query/delete/restart smoke driver.,"Add a live GUI driver that exercises ingestion, retrieval, answer support, citations, fallback display, no UUID flood, restart persistence, and emits release_grade=true only after passing.",npm run desktop-smoke && python3 validation/gloss_desktop_smoke_gate.py --repo .,blocked_p6_live_gui_driver_missing,ISSUE_LEDGER.csv
GLOSS-NP34-S1-012,S1,existing_issue,,audit_tauri_security.py fails because root SECURITY_AND_PRIVACY.md is missing; only product_docs template exists.,Public/security surface is not promoted from template to canonical file.,"Create root SECURITY_AND_PRIVACY.md with exact local storage, API key, Ollama/cloud provider, Tauri capability, and data-flow limits. Update audit if canonical path changes.",,closed_p6_verified,ISSUE_LEDGER.csv
GLOSS-NP34-S1-013,S1,existing_issue,,UI eventually shows sources loaded but sourceStore.addSourceFolder only schedules import and does not refresh sources/stats after batch completion; it relies on event handling elsewhere.,Folder import events are not receipt-driven and store refresh is not tied to import batch terminal state.,Frontend source store listens for ImportBatchReceiptV1 / batch_ingestion_complete with batch id and refreshes sources/stats once; stale notebook id events ignored by current active id.,,closed_p1_verified,ISSUE_LEDGER.csv
GLOSS-NP34-S1-014,S1,existing_issue,,"UI shows 183 need summaries while log repeatedly says ingestion active, deferring summaries; after import it remains unclear whether summaries are queued, blocked, manual, or failed.",Summary queue state is not surfaced distinctly from source summary count; active ingestion counter may not expose terminal queue transition.,"Add SummaryQueueStateV1: not_started, waiting_for_ingestion, queued, running, complete, failed, manual. UI displays state and cause. Summary generation must not depend on semantic-memory projection success unless declared.",,open,ISSUE_LEDGER.csv
GLOSS-NP34-S1-015,S1,existing_issue,,Runtime uses gemma3:4b for chat while semantic-memory projection hits Ollama context length; UI/status does not make clear which embedding/projection model is used.,"Chat model, background summary model, and semantic projection embedding model are not sufficiently separated in visible capability state.","Settings/status show chat model, summary model, vision model, semantic embedding model, and projection endpoint separately. Projection refuses chat-only models unless configured as embedding-capable.",,closed_p2_verified,ISSUE_LEDGER.csv
GLOSS-NP34-S1-016,S1,existing_issue,,"Log skips .lock and .zip, but app imports many code/docs files and treats unknown extension as text. Docs/spec list many document formats as intended, but current implementation excludes pdf/docx/xlsx/pptx and lacks extraction.","Ingestion support matrix is implicit in code, UI, and docs; user gets no pre-scan type report before folder import.","Add ImportCapabilityMatrixV1 and pre-scan receipt: supported, unsupported, oversized, skipped binary, deferred formats. UI shows exactly what will be imported.",,open,ISSUE_LEDGER.csv
GLOSS-NP34-S1-017,S1,existing_issue,,"SPEC v1 includes PDF/DOCX/XLSX/CSV/url/youtube/audio/video/image/paste directions, but current source excludes pdf/docx/xlsx/pptx and no URL/YouTube/audio pipeline is visible.",Implementation scope is narrower than spec; docs do not classify missing features/deferred work clearly.,Create CURRENT_FEATURE_MATRIX.md with implemented/degraded/deferred. Do not claim NotebookLM parity or document-format support until implemented.,,closed_p6_verified,ISSUE_LEDGER.csv
GLOSS-NP34-S1-018,S1,existing_issue,,"Log: context_chars=22065, system_prompt_len=3830 for gemma3:4b; no visible evidence that prompt is clipped to model context before provider call.",RAG context assembly uses char/context-window estimates but may not enforce token budgets per provider/model robustly.,"Add PromptBudgetReceiptV1 with model context, system tokens estimate, history tokens estimate, source passage tokens, clipped passages, omitted reason. Gate prompt assembly before provider call.",,closed_p4_verified,ISSUE_LEDGER.csv
GLOSS-NP34-S1-019,S1,existing_issue,,A single 47-chunk source triggers semantic-memory projection error; UI shows memory failed / dense coverage 0% for entire notebook.,Projection state is too coarse; failure not isolated enough per source/chunk in UI capability summary.,"Add per-source and aggregate projection coverage: projected_chunks/total_chunks, failed_sources, blocked_large_sources, last_error per source. UI shows partial coverage and next action.",,closed_p2_verified,ISSUE_LEDGER.csv
GLOSS-NP34-S1-020,S1,existing_issue,,assert_no_stale_surfaces fails on ClaimLedger mentions inside vendor/turbo-quant docs.,Gate scans vendored dependency docs as app source and cannot distinguish dependency documentation from Gloss stale app semantics.,Scope stale-surface gate to app-owned docs/src or maintain allowlisted vendor docs. Vendor references must not block Gloss release unless surfaced publicly.,,closed_p0_verified,ISSUE_LEDGER.csv
GLOSS-NP34-S1-021,S1,existing_issue,,audit_retrieval_disclosures.py crashes with IndexError when no JSON payload path is provided.,Script lacks CLI validation and usage text; release runner calls it incorrectly.,Add argparse with required --receipt/--sample path or make it discover latest retrieval disclosure receipts. Do not crash with stack trace.,,closed_p0_verified,ISSUE_LEDGER.csv
GLOSS-S1-013,S1,existing_issue,,COMMANDS_RUN.log excluded,log-disabled packaging,emit jsonl/md command receipts,,open_blocker,07_MASTER_ISSUE_LEDGER.csv
GLOSS-S1-014,S1,existing_issue,,Notes monopolizes right panel,UI layout too narrow,right dock tabs,,open_blocker,07_MASTER_ISSUE_LEDGER.csv
GLOSS-S1-015,S1,existing_issue,,dense/projection/summary status scattered,local UI guesses,source health from backend truth,,open_blocker,07_MASTER_ISSUE_LEDGER.csv
GLOSS-S1-016,S1,existing_issue,,pending shown running,counter conflation,split pending vs processing,,open_blocker,07_MASTER_ISSUE_LEDGER.csv
GLOSS-S1-017,S1,existing_issue,,old sources unreconciled,no reconcile command,source health reconcile/backfill,,open_blocker,07_MASTER_ISSUE_LEDGER.csv
GLOSS-S1-018,S1,existing_issue,,unsupported fields may be sent/hidden,no capability matrix,provider capability map,,open_blocker,07_MASTER_ISSUE_LEDGER.csv
OBS-S1-012,S1,extension_boundary,Unknown extensions are treated as text,classify_extension defaults to text for unknown extensions in src-tauri/src/commands/sources/mod.rs.,Lenient boundary could import binary/unsupported content as text.,"Implement MIME/content sniffing with strict allowlist, bounded text detection, and unsupported/quarantine receipt.",Boundary fixture: random binary with unknown extension is rejected/quarantined with receipt.,open_superpass,generated_audit
OBS-S1-013,S1,secrets,Package scanner reports secret-like content warnings,z.py report warns secret-content-named-secret-assignment in AGENT-SYSTEM.md and Gloss/src-tauri/src/providers/ollama.rs plus excluded secret-like filenames in vendored crates.,Secret scanner warnings not fully reviewed/redacted.,"Run repo-local secret scanner, classify test fixtures vs real risk, redact or quarantine with receipt.",Secret scan returns zero unreviewed warnings; each allowed fixture has Quarantine/ApprovalRecord.,open_superpass,generated_audit
OBS-S1-014,S1,vendoring,Vendor crates exist but no cargo source replacement was found,"src-tauri/vendor exists with many crates, but root Cargo.toml excludes vendor and no .cargo/config.toml source replacement was observed.",Vendored code may be stale artifact rather than deterministic offline build source.,Decide: remove/quarantine vendor or wire deterministic vendor config with manifest digest.,cargo vendor/config gate either proves vendor use or validates vendor quarantine.,open_superpass,generated_audit
OBS-S1-015,S1,spec_drift,fastembed version drift remains,"Spec/issue ledger indicates fastembed 5.x target; src-tauri/Cargo.toml uses fastembed = ""4"".",Dependency stayed behind while spec advanced.,"Upgrade, pin, or amend spec with evidence; update feature matrix and tests.",cargo check/test with selected fastembed version and dependency decision receipt.,open_superpass,generated_audit
OBS-S1-016,S1,prompt_receipts,PromptReceiptV1 stores digests but not enough operator-visible prompt material for replay/debug,chat module PromptReceiptV1 uses capture_state captured_digest_only and content_not_stored_in_receipt.,Privacy-preserving receipt lacks safe redacted prompt snapshot/replay profile.,"Add redacted prompt envelope with source spans, settings, truncation, context budget, and configurable privacy policy.","Prompt receipt fixture validates digest, redacted spans, settings, and replay/non-replayability reason.",open_superpass,generated_audit
OBS-S1-017,S1,context_budget,max_tokens hardcoded in chat path,stream_chat_response uses let max_tokens = 2048 in chat module.,Generation budget is static and not fully controlled by settings/model capability.,Derive max_tokens from effective decoding/settings/model capability with upper/lower gates and receipt.,Unit tests verify max_tokens source and receipt for Ollama/OpenAI/Anthropic/llama.cpp.,open_superpass,generated_audit
OBS-S1-018,S1,csp_network,Cloud provider endpoints are allowed by CSP but need explicit local-first/cloud-opt-in receipts,tauri.conf.json includes https://api.openai.com and https://api.anthropic.com in connect-src.,"Remote egress is supported, but local-first proof/approval boundary must be visible.","Add NetworkScopePolicyV1, cloud provider opt-in, API key redaction, and per-call ProviderRouteReceipt.",Network policy tests; UI blocks cloud call until opt-in and provider health receipt.,open_superpass,generated_audit
SPEC-COMPLETE-001-pdf,S1,broad_spec_completion,Complete spec item: PDF text extraction,"Bounded pure-Rust embedded PDF text extraction now has fixture tests and DocumentExtractorReceiptV1; OCR/forms/layout/page-span fidelity remain missing.",Previous pass scoped these as later/non-goals; user explicitly asked to ignore wait/defer language.,"Add page spans, hashes, OCR fallback, and citation anchors only after fixtures and receipts; unsupported states must be explicit and not public claims.",cargo test --manifest-path src-tauri/Cargo.toml extract -- --nocapture && python3 validation/gloss_document_extractors_gate.py --repo .,partial_p7_pdf_document_extractors_verified,generated_broad_spec_expansion
SPEC-COMPLETE-002-docx,S1,broad_spec_completion,Complete spec item: DOCX/DOC extraction,"Bounded DOCX OOXML text extraction now has fixture tests and DocumentExtractorReceiptV1; legacy .doc has degraded antiword CLI extraction with LegacyOfficeExtractorReceiptV1 metadata. Layout/rendering fidelity remains missing.",Previous pass scoped these as later/non-goals; user explicitly asked to ignore wait/defer language.,Add DOCX paragraph/table structure spans and richer legacy rendering fidelity only after fixtures and receipts; unsupported states must be explicit and not public claims.,cargo test --manifest-path src-tauri/Cargo.toml extract -- --nocapture && python3 validation/gloss_legacy_office_extractors_gate.py --repo .,partial_p7_legacy_office_extractors_verified,generated_broad_spec_expansion
SPEC-COMPLETE-003-xlsx,S1,broad_spec_completion,Complete spec item: XLSX/XLS extraction,"Bounded XLSX shared-string and worksheet-value text extraction now has fixture tests and DocumentExtractorReceiptV1; legacy .xls has degraded xls2csv CLI extraction with LegacyOfficeExtractorReceiptV1 metadata. Formulas/charts/layout fidelity remain missing.",Previous pass scoped these as later/non-goals; user explicitly asked to ignore wait/defer language.,Add richer workbook/sheet/table semantics only after fixtures and receipts; unsupported states must stay explicit.,cargo test --manifest-path src-tauri/Cargo.toml extract -- --nocapture && python3 validation/gloss_legacy_office_extractors_gate.py --repo .,partial_p7_legacy_office_extractors_verified,generated_broad_spec_expansion
