issue_id,severity,surface,issue,evidence,root_cause,fix_direction,acceptance_gate,validation_command
REC-001,S1,Generation receipt schema,GenerationReceiptV1 lacks finish reason / terminated_by / done_seen_at / eof_seen / partial flags.,Code struct has status/error/receipt ids only.,Receipt cannot diagnose infinite/end-condition bugs.,"Expand schema with terminal_cause, done_frame_seen, eof_seen, first_token_at, final_frame_at, stream_ended_at, chunks_seen, partial_persisted.",Receipt from done-frame-no-EOF test has terminal_cause=provider_done_frame and eof_seen=false.,cargo test -p gloss generation_receipt_terminal_metadata
REC-002,S1,Invocation receipts on error,Provider invocation receipts are not proven durable for every error/timeout/cancel path.,Doctrine requires material execution receipts; current tests mostly static.,Receipts may be success-biased.,"For every terminal branch, write LlmInvocationReceiptV1 and GenerationReceiptV1 before emitting UI terminal event.","Branch coverage test forces provider_start_timeout, first_token_timeout, idle_timeout, provider_error, cancel.",cargo test -p gloss chat_terminal_branch_receipts
REC-003,S2,Evidence/done ordering,Evidence events can race with chat done/finalization.,Backend emits evidence and done through separate events.,Terminal ordering contract not explicit.,Define event order: deltas -> evidence_final(optional) -> terminal_done/error; frontend stores evidence by attempt_id.,Test evidence arriving before/after done produces same final state.,npm test -- --run chat_evidence_terminal_ordering
VALID-001,S0,Package scope gate,Transferred package fails package scope gate.,validation/gloss_package_scope_gate.py returns no Gloss package manifest found.,Package manifest is not present at expected location after transfer/extract.,Generate/ship PACKAGE_SCOPE_MANIFEST.json in canonical location and make gate accept only that path; include digest and current run id.,Fresh unzip package_scope_gate exits 0.,python3 validation/gloss_package_scope_gate.py --repo .
VALID-002,S0,Validation script reference,run_all_checks.sh references validation/gloss_secret_store_permissions_gate.py but file is excluded/missing.,Report and findings show script-ref-not-archived for that path.,Validation depends on a file blocked by packager naming policy.,Rename gate to non-secret-like path or adjust certifier allowlist; include it; update run_all_checks.,Fresh unzip run_all_checks can find every referenced script.,bash scripts/run_all_checks.sh
VALID-003,S0,Release gate hang,release_candidate_gate can hang; a 20s wrapper timed out without structured failure.,Live check log for timeout 20s has no JSON/final EXIT from script.,Aggregate gate lacks per-subgate timeouts / progress reporting / hard stop law.,"Wrap every subgate with timeout, capture stdout/stderr, emit JSON failure record and continue/abort by severity.",Artificial hanging subgate returns structured failure under 5s.,python3 validation/gloss_release_candidate_gate.py --repo . --run-id CURRENT --max-subgate-seconds 10
VALID-004,S1,Static gate false positives,Static audit passes despite activeNotebookId filter count 0 and unresolved runtime gaps.,chat_runtime_static_audit says PASS with activeNotebookId filters found: 0.,"Validator is checking presence of broad markers, not acceptance conditions.","Change validators to fail on zero required scoping, no live fixture, stale receipt, missing artifact, and release_blocker=true.",Static gate fails on current bad contract; passes after targeted fix.,python3 scripts/chat_runtime_static_audit.py --repo .
VALID-005,S1,Release blocker semantics,Receipts can have status=pass while release_blocker=true.,"LIVE_DESKTOP_SMOKE_RECEIPT has status pass, release_grade=false, release_blocker=true.",Gate treats contract smoke as pass rather than blocker.,"Normalize receipt status enum: pass_release, pass_contract_only, blocked, failed; release gate blocks unless pass_release.",release_candidate_gate fails on contract-only smoke.,python3 validation/gloss_release_candidate_gate.py --repo . --run-id CURRENT
VALID-006,S1,Tool availability gate,Legacy Office extractor gate fails when xls2csv/catppt unavailable.,legacy_office_extractors_gate reports missing xls2csv and catppt; antiword exists.,Runtime dependencies are not portable or degraded clearly enough.,Declare optional vs required extractor binaries; UI/import receipts must show degraded support; installer docs must specify packages or bundle alternatives.,Gate passes only with explicit degraded receipt or available binaries.,python3 validation/gloss_legacy_office_extractors_gate.py --repo .
VALID-007,S2,Excluded validation evidence,"Package excludes many logs and some receipts, making hostile audit weaker.","Report excludes 222 logs, 60 generated sidecars, secret-like receipt.",Transfer policy removes proof artifacts.,"Ship sanitized command/result summaries and receipt index, not raw huge logs; never exclude required receipts due filename heuristic.",Fresh package contains COMMANDS_RUN.summary.json and receipt index.,python3 validation/gloss_evidence_index_gate.py --repo .
VALID-008,S2,Pytest/env failures buried,Prior handoff mentions pytest env failure; final gates must classify it.,FINAL handoff says pytest unsupported bare imports/env issue.,Skipped checks are not normalized as blockers/debt/non-goals.,"Every skipped/failing validation must have exact reason, owner, severity, release impact.",Final report contains no unclassified skip/fail.,python3 validation/gloss_final_report_gate.py --repo .
PACK-001,S1,Package scope too broad,Context package archive root is /Coding with Gloss plus Libraries and many top-level unrelated docs.,"Report: archive root /home/sikmindz/Coding; include roots 22; included top-level files like Medicine.md, Phone.md, etc.","Packager optimized for Codex context, not release/source transfer scope.",Separate Gloss release/source package from Codex context package. Release package includes Gloss plus declared path deps only; no unrelated root docs.,"Fresh package top-level only Gloss, Libraries declared deps, pack manifest.",python3 validation/gloss_package_scope_gate.py --repo . --strict-transfer
PACK-002,S1,Run truth drift,Codex archive sidecar reports current_run=P30 while CURRENT_RUN.md reports GLOSS_TOTAL_COMPLETION_AND_HARDENING_SUPERPASS_20260526.,codex-archive.json current_run P30; CURRENT_RUN.md current superpass.,Multiple run truth projections are not synchronized.,Create single RunTruthV1 source and generate CURRENT_RUN/codex sidecar/final handoff from it.,Run truth gate detects no mismatches across sidecars/docs.,python3 validation/gloss_run_truth_gate.py --repo .
PACK-003,S2,Git state unprovable,"Transfer package excludes .git, so commit/dirty state cannot be verified by auditor.",Report excludes Git metadata intentionally.,Package lacks signed/digest git-state receipt.,"Include GitStateReceiptV1 with branch, HEAD, dirty diffstat, untracked list digest, generation time.",Hostile auditor can verify source state from receipt.,python3 validation/gloss_git_state_receipt_gate.py --repo .
PACK-004,S2,Cargo vendor integrity risk,"Package includes vendored crates but excludes many vendor files (.orig, binary libs, non-utf8, C/asm), risking non-replayable cargo builds.",Excluded list contains thousands under src-tauri/vendor/crates.,"Certifier treats build artifacts/unsupported extensions generically, not cargo vendor integrity.","For release transfer, either do not vendor crates or include complete cargo vendor tree plus config; validate cargo metadata/check from fresh unzip.",Fresh unzip cargo check works offline/online by declared mode.,cargo metadata && cargo check --workspace --all-targets
SEC-001,S1,Secret scan findings unresolved,Package findings flag potential secret-like content in AGENT-SYSTEM.md and ollama.rs.,Findings JSON reports secret-content-named-secret-assignment at AGENT-SYSTEM.md line 1309 and ollama.rs line 326.,Secret detector warning not triaged into false-positive/real secret receipt.,Manually inspect flagged lines; redact/rename false positives; add SecretScanFindingReceiptV1 with classification.,Secret scan gate has zero untriaged findings.,python3 validation/gloss_secret_scan_gate.py --repo .
SEC-002,S1,Filename heuristic breaks security proof,Secret-like filename exclusion removes security gate/receipt and vendor source files.,validation/gloss_secret_store_permissions_gate.py and SECRET_STORE_PERMISSION_RECEIPT.json excluded.,Packager equates secret-related filenames with secret content.,Use content-aware classification and allowlist required security tests/receipts; redact values not filenames.,Security gate and receipt included while real secrets excluded.,python3 validation/gloss_packager_security_allowlist_gate.py --repo .
SEC-003,S1,Network/egress policy,Cloud/provider endpoints and local Ollama need explicit authority/egress receipts.,"Security doctrine requires manifests, policy, measured network behavior, receipts.","Provider authority is configuration, not governed artifact.","Add ProviderAuthorityPolicyV1 and NetworkScopePolicyV1; local Ollama allowed by default, cloud providers opt-in with redaction and receipts.",Attempt cloud call with cloud disabled is blocked and receipted.,cargo test -p gloss provider_authority_policy_blocks_unapproved_cloud
SEC-004,S2,Runtime error redaction,Provider errors/logs may leak paths/model prompts unless redaction tested end-to-end.,"Receipts store prompt digests, but error redaction coverage not proven.",Privacy-safe receipts are not paired with full error-path tests.,"Add redaction tests for prompt, source path, provider URL, secret-like values in every error branch.",Forced provider error does not leak raw prompt or secret-like token.,cargo test -p gloss provider_error_redaction
DESKTOP-001,S0,Desktop smoke release proof,Desktop smoke receipt is not release grade.,"LIVE_DESKTOP_SMOKE_RECEIPT says scripted runtime contract, live_desktop_exercised=false, release_grade=false, release_blocker=true.",Release gate accepts/nonblocks contract smoke.,"Add real Tauri desktop smoke: launch app, import fixture, send mock/real chat, screenshot/state receipt, close cleanly.",Live desktop receipt release_grade=true and screenshot/state artifacts present.,python3 validation/live_desktop_smoke.py --repo .
INSTALL-001,S1,Installer smoke partial,Installer proof is partial; AppImage/post-install not fully exercised.,Final handoff says installer smoke partial; not all formats tested.,Packaging validation stops at artifact existence or partial rpm.,Test each targeted bundle on clean environment or demote release claim.,AppImage/RPM/DEB smoke receipts current and pass or marked non-goal.,python3 validation/gloss_installer_smoke_gate.py --repo .
TQ-001,S1,TurboQuant runtime proof,TurboQuant exact runtime rerank proof not produced.,Final handoff says exact runtime rerank proof not produced.,Feature claim lacks measured runtime proof.,"Create TurboQuantRuntimeReceiptV1 with corpus, route, exact/degraded mode, before/after metrics, fallback behavior.",Release gate blocks TurboQuant claims without receipt.,python3 validation/gloss_turboquant_runtime_gate.py --repo .
SM-001,S1,semantic-memory boundary proof,semantic-memory integration is included but live dense memory behavior is not fully proven in this audit.,Package includes Libraries/semantic-memory; current live logs excluded.,Dependency presence is mistaken for runtime proof.,Add live semantic-memory import/query/citation smoke receipt from Gloss command path.,SemanticMemoryLiveSmokeReceiptV1 current and gate-checked.,python3 validation/live_semantic_memory_smoke.py --repo .
SOURCE-001,S1,Source-of-truth drift,Gloss may reimplement memory/retrieval/provenance semantics that belong in semantic-memory/ClaimLedger.,Stage 2 dossier flags Gloss app-local memory/retrieval/provenance logic as source-of-truth drift target.,App-local implementation grows faster than canonical library boundaries.,Produce owner map: Gloss owns UX/workflow; semantic-memory owns imported/queryable truth; ClaimLedger/evidence layer owns claim/evidence receipts. Remove or quarantine duplicates.,No touched concept lacks canonical owner; duplicate semantic implementations ledger empty or quarantined.,python3 validation/gloss_source_of_truth_drift_gate.py --repo .
GRAPH-001,S2,Graph plane collapse risk,Retrieval/control/evidence/runtime events can be collapsed in chat pipeline.,Doctrine separates storage/retrieval/inference/repair/control graphs.,Implementation optimizes chat pipeline without explicit graph declarations.,"Add GraphSurfaceDeclarationV1 for retrieval, generation, evidence, control events where material.",Receipts declare graph surface for retrieval/answer generation.,cargo test -p gloss graph_surface_receipts
IMPORT-001,S1,Broad import completion,"Legacy Office, media, URL/Youtube/import paths are degraded/partial and must not be claimed complete.",Legacy Office gate fails missing xls2csv/catppt; final handoff says broad import mostly degraded.,Spec ambition outruns runtime proof.,"For every import type, emit ImportCapabilityReceiptV1: supported/degraded/unsupported with fixture evidence and UI disclosure.",Capability matrix gate matches actual fixtures.,python3 validation/gloss_import_capability_matrix_gate.py --repo .
IMPORT-002,S2,Extractor fallback semantics,Unknown/unavailable extractors may silently degrade without source-visible receipt.,Legacy gate reports missing binaries; package still passes other gates.,Degradation not elevated to product surface.,Every failed extractor path creates DegradationRecordV1 surfaced in UI/import history.,Import PPT without catppt creates explicit degraded/unsupported record.,cargo test -p gloss import_missing_extractor_degradation_receipt
URL-001,S2,URL/web import scope,"URL import appears one-shot/public-only, not crawler/auth/archive-grade.",No live proof found for crawl/auth behavior.,Feature may be over-described.,Restrict claim to single URL fetch unless crawler/auth fixtures exist; add robots/egress policy receipt.,Public docs match fixture-supported behavior.,python3 validation/gloss_public_claim_gate.py --repo .
YT-001,S2,YouTube transcript scope,YouTube transcript import likely public transcript only; no auth/copyright/availability policy receipt.,Frontend test names consented transcript import but no live transcript proof here.,Media import policy not fully governed.,Add consent/source-policy receipt and degraded behavior for missing captions.,Fixture no captions returns explicit unsupported/degraded record.,cargo test -p gloss youtube_missing_captions_degrades
AUDIO-001,S2,Audio/transcription scope,Whisper/transcription path not proven live in this package.,No live model/tool availability receipt in current package.,Model availability and download policy are not release-proofed.,Declare offline/cached model requirement; add tool/model inventory receipt and fixture transcription.,Transcription gate passes with current model inventory or release claim demoted.,python3 validation/gloss_transcription_gate.py --repo .
STUDIO-001,S2,Studio output maturity,"Studio/generation/export workflows need proof-bearing generated artifacts, not just UI exposure.",Frontend tests list Studio UI exposes generation/export workflow.,UI affordance may be mistaken for implemented artifact pipeline.,Add StudioArtifactV1 contracts and fixtures for summary/study guide/flashcards/export with source refs.,Generated export includes source/evidence refs and receipt.,cargo test -p gloss studio_artifact_receipts && npm test
PERF-001,S2,Performance proof,No full performance budget proof for chat/import/index/UI.,No benchmark receipts in current audit.,Release/hardening lacks performance gates.,"Add budgets: chat first-token SLO by phase, import throughput, index memory, UI render budget; gate regressions.",Performance gate emits pass/degraded with fixture metrics.,python3 validation/gloss_performance_gate.py --repo .
DOCS-001,S1,Claim boundary,README/spec/docs may overclaim release readiness and broad feature completion.,Package has warnings and release blockers; docs are numerous and stale artifacts exist.,Documentation claims are not generated from proof matrix.,Create PUBLIC_CLAIM_DIFF.md; demote all unproven claims to prototype/degraded/experimental.,public_claim_gate passes; no release-ready claim without receipts.,python3 validation/gloss_public_claim_gate.py --repo .
DOCS-002,S2,Stale Codex/run material,Many old run artifacts/logs/sidecars are included/excluded inconsistently.,"Report root package inspected/moved, many codex run directories and sidecars.",Historical evidence is mixed with active instruction.,Archive old run material under docs/codex-runs/archive; active run has one manifest and evidence index.,current_run_not_stale plus no active stale artifacts.,python3 validation/gloss_run_archive_gate.py --repo .
BUILD-001,S0,Rust validation absent in this audit,"cargo/rustc are unavailable in the audit sandbox, so Rust build/test success is unproved here.",tool_availability log has cargo= and rustc= empty.,Package cannot be called release-ready from this environment.,Run Rust checks in real dev env and include command receipts/log summaries.,cargo fmt/check/test/clippy pass or blockers recorded.,cargo fmt --all -- --check && cargo check --workspace --all-targets && cargo test --workspace --all-targets
BUILD-002,S0,Live Ollama validation absent here,"ollama binary is unavailable in sandbox, so user-reported runtime bug cannot be live-reproduced here.",tool_availability log has ollama= empty.,Live provider dependency absent from audit environment.,Run live Ollama smoke on user machine with known-good Ollama; collect terminal done/DB receipt.,Live smoke proves no infinite generation.,python3 validation/live_ollama_chat_smoke.py --repo . --model <installed-model>
BUILD-003,S1,Frontend build only proves web bundle,npm build/test pass but do not prove Tauri/Rust/chat runtime.,npm build/test logs exit 0.,Frontend-only validation can mask backend runtime defects.,Keep frontend checks but never use them as release gate alone.,Release gate requires Rust + live/mock backend + desktop smoke.,npm test && cargo test --workspace --all-targets
RUN-001,S1,Codex pass too broad,Previous long pass produced broad changes but still left blockers; six-hour run without handoff is a control-plane failure.,Current package has many prior run artifacts and release blockers.,Monolithic superpass lacks stop law at phase boundaries.,"Next pass must be bounded, phase-gated, and stop after each blocker class with receipts.","Every phase has report, commands, changed files, blockers before proceeding.",python3 validation/codex_phase_receipts_gate.py --repo . --run-id CURRENT
RUN-002,S2,Subagent governance,Parallel audits/subagents can create drift if outputs are not merged into one issue matrix.,"Operational doctrine says subagents are review lanes, not hidden implementation forks.",Agent output lacks integration owner.,Use read-only subagents for security/test/source/UI/package review; main agent owns merged ledger.,Final handoff lists subagents and merged issues.,manual final handoff gate
RELEASE-001,S0,No-go release decision,"Current package contains blockers: package gate failure, missing live desktop proof, missing live Ollama/Rust proof in audit env, TQ proof gap.",Live checks and receipts show multiple blockers.,Release readiness is inferred from partial gates.,Declare no-go until all acceptance gates are green with current receipts.,PUSH_DECISION.md says GO only when all S0/S1 gates closed.,python3 validation/gloss_release_candidate_gate.py --repo . --run-id CURRENT
RELEASE-002,S1,Proof packet missing,No compact proof packet maps capabilities to commands/results/receipts/current blockers.,"Audit protocol requires observed state, build/test status, capability inventory, defect matrix, risk, Codex design.",Evidence exists but not normalized.,Generate RELEASE_PROOF_PACKET.md/JSON from receipts and validation logs.,Proof packet has current timestamps and no unclassified failures.,python3 validation/gloss_release_proof_packet_gate.py --repo .
UX-001,S2,Actionable error surface,Provider/gate/timeout errors need operator-action text and trace IDs.,Receipts exist but UI path unclear.,Errors are developer-oriented or invisible.,"Every chat failure shows phase, cause, retry/continue options, trace id, and local Ollama check hint.",Simulated Ollama unavailable shows actionable diagnostics.,npm test -- --run chat_error_actionability
UX-002,S2,Continuation lineage,Continuation after partial generation needs explicit lineage and source refs.,Timeout receipt mentions continuation but durable fixture missing.,"Continuation is UI affordance, not proven artifact.","ContinuationPlanV1 links original attempt, partial digest, retrieval context digest, provider settings.",Continue after timeout uses same context lineage and records supersession.,cargo test -p gloss continuation_plan_lineage
OBS-001,S2,Observability/replay,Receipts do not yet support precise replay of chat state machine.,Generation receipt lacks terminal details; logs are excluded.,Replay evidence under-specified.,"Emit compact replay trace: phases, events, chunk digests, timings, gate owners, provider metadata.",Replay trace reconstructs done-frame-no-EOF fixture.,cargo test -p gloss chat_replay_trace_fixture
GATE-001,S1,Missing run/package receipt transfer,Fresh transfer lacks expected manifest at local gate path.,package_scope_gate failed after extracting latest zip.,Packager output sidecars live outside package or excluded.,Ship normalized PackManifestV1 inside package root and use it as source.,Fresh unzip gate sees manifest and validates file digests.,python3 validation/gloss_package_scope_gate.py --repo .
GATE-002,S2,Dependency checks not classified,Missing toolchain/binaries become environment surprises rather than receipt state.,tool_availability log shows missing cargo/rustc/ollama/xls2csv/catppt.,Preflight does not emit required/optional matrix with release impact.,Add ToolAvailabilityReceiptV1 with required_for phases and release impact.,"Preflight blocks S0 missing required tools, warns optional degraded.",python3 validation/gloss_tool_availability_gate.py --repo .
GATE-003,S1,Gate aggregation lacks stable failure taxonomy,Some gates pass static checks while release blockers remain.,timeout gate PASS; desktop smoke status pass/release_blocker true; release gate timed out.,Gate output schemas are inconsistent.,"Unify gate result schema: ok, severity, blockers[], warnings[], release_impact, receipt_refs.",Aggregate gate produces deterministic JSON with no hangs.,python3 validation/gloss_gate_schema_gate.py --repo .
CLAIM-001,Q,Research/spec promotion,Research/reference material must not silently drive runtime claims.,Source policy says research must be promoted through scoped claim/test/proof before implementation authority.,Spec/research can leak into product docs as fact.,Add ResearchPromotionRecordV1 for any research-derived feature claim.,public_claim_gate rejects unpromoted research claims.,python3 validation/gloss_research_promotion_gate.py --repo .
