path,preexisting_status,subsystem,intended_change,dependency_package,rollback_unit,validation_gate
src/components/layout/StatusBar.tsx,M,frontend state,preserve then reconcile under master plan,R0 baseline,path-scoped diff,Vitest + npm build
src/components/settings/SettingsDialog/index.tsx,M,frontend state,preserve then reconcile under master plan,R0 baseline,path-scoped diff,Vitest + npm build
src/components/studio/StudioPanel.tsx,M,Studio,preserve then reconcile under master plan,R0 baseline,path-scoped diff,Studio tests + npm tests
src/lib/evidenceContract.test.ts,M,frontend state,preserve then reconcile under master plan,R0 baseline,path-scoped diff,Vitest + npm build
src/lib/tauri.ts,M,frontend state,preserve then reconcile under master plan,R0 baseline,path-scoped diff,Vitest + npm build
src/lib/types.ts,M,frontend state,preserve then reconcile under master plan,R0 baseline,path-scoped diff,Vitest + npm build
src/stores/__tests__/chatStore.test.ts,M,chat lifecycle,preserve then reconcile under master plan,R0 baseline,path-scoped diff,targeted chat tests
src/stores/chatStore.ts,M,chat lifecycle,preserve then reconcile under master plan,R0 baseline,path-scoped diff,targeted chat tests
src/stores/notebookStore.ts,M,frontend state,preserve then reconcile under master plan,R0 baseline,path-scoped diff,Vitest + npm build
src/stores/studioStore.ts,M,Studio,preserve then reconcile under master plan,R0 baseline,path-scoped diff,Studio tests + npm tests
.hermes/plans/2026-07-11_190035-gloss-wiring-recovery.md,??,docs/evidence,preserve then reconcile under master plan,R0 baseline,path-scoped diff,claim/receipt review
AUDIT.md,??,docs/evidence,preserve then reconcile under master plan,R0 baseline,path-scoped diff,claim/receipt review
docs/audits/,??,docs/evidence,preserve then reconcile under master plan,R0 baseline,path-scoped diff,claim/receipt review
docs/plans/,??,docs/evidence,preserve then reconcile under master plan,R0 baseline,path-scoped diff,claim/receipt review
scripts/run_repair_phase.sh,??,validation/CI,preserve then reconcile under master plan,R0 baseline,path-scoped diff,canonical verifier self-test
src/components/studio/DataTableView.tsx,??,Studio,preserve then reconcile under master plan,R0 baseline,path-scoped diff,Studio tests + npm tests
src/components/studio/TimelineView.tsx,??,Studio,preserve then reconcile under master plan,R0 baseline,path-scoped diff,Studio tests + npm tests
src/stores/__tests__/studioStore.test.ts,??,Studio,preserve then reconcile under master plan,R0 baseline,path-scoped diff,Studio tests + npm tests
validation/gloss_provider_cancellation_static_gate.py,??,validation/CI,preserve then reconcile under master plan,R0 baseline,path-scoped diff,canonical verifier self-test
validation/gloss_receipt_consistency_gate.py,??,validation/CI,preserve then reconcile under master plan,R0 baseline,path-scoped diff,canonical verifier self-test
validation/gloss_runtime_static_gate.py,??,validation/CI,preserve then reconcile under master plan,R0 baseline,path-scoped diff,canonical verifier self-test
validation/gloss_semantic_memory_contract_gate.py,??,validation/CI,preserve then reconcile under master plan,R0 baseline,path-scoped diff,canonical verifier self-test
validation/gloss_settings_contract_gate.py,??,validation/CI,preserve then reconcile under master plan,R0 baseline,path-scoped diff,canonical verifier self-test
validation/run_all_gloss_repair_gates.sh,??,validation/CI,preserve then reconcile under master plan,R0 baseline,path-scoped diff,canonical verifier self-test
