id,severity,surface,evidence,root_cause,fix_direction,acceptance_gate,status,phase
GLOSS-NP34-S1-011,S1,Desktop smoke broken,"package.json desktop-smoke points to scripts/p33_desktop_smoke_harness.py, which was archived as stale-run-script and is missing from active scripts.",Package script not updated after archival.,"Add scripts/gloss_desktop_smoke_harness.py for current run or remove script until implemented. Smoke must assert ingestion, retrieval, answer support, citations, fallback display, and no UUID flood.",npm run desktop-smoke,blocked_p6_live_smoke_missing,P6
GLOSS-NP34-S1-012,S1,Security document missing,audit_tauri_security.py fails because root SECURITY_AND_PRIVACY.md is missing; only product_docs template exists.,Public/security surface is not promoted from template to canonical file.,"Create root SECURITY_AND_PRIVACY.md with exact local storage, API key, Ollama/cloud provider, Tauri capability, and data-flow limits. Update audit if canonical path changes.",python3 scripts/audit_tauri_security.py .,closed_p6_verified,P6
GLOSS-NP34-S1-013,S1,Source list refresh after folder import,UI eventually shows sources loaded but sourceStore.addSourceFolder only schedules import and does not refresh sources/stats after batch completion; it relies on event handling elsewhere.,Folder import events are not receipt-driven and store refresh is not tied to import batch terminal state.,Frontend source store listens for ImportBatchReceiptV1 / batch_ingestion_complete with batch id and refreshes sources/stats once; stale notebook id events ignored by current active id.,npm test -- sourceStoreFolderImport && cargo test folder_import_emits_batch_receipt,closed_p1_verified,P1
GLOSS-NP34-S1-014,S1,Summary scheduler state,"UI shows 183 need summaries while log repeatedly says ingestion active, deferring summaries; after import it remains unclear whether summaries are queued, blocked, manual, or failed.",Summary queue state is not surfaced distinctly from source summary count; active ingestion counter may not expose terminal queue transition.,"Add SummaryQueueStateV1: not_started, waiting_for_ingestion, queued, running, complete, failed, manual. UI displays state and cause. Summary generation must not depend on semantic-memory projection success unless declared.",cargo test summary_queue_unblocks_after_batch_import summary_queue_not_blocked_by_projection_failure && npm test -- summaryState,open,P5
GLOSS-NP34-S1-015,S1,Projection model confusion,Runtime uses gemma3:4b for chat while semantic-memory projection hits Ollama context length; UI/status does not make clear which embedding/projection model is used.,"Chat model, background summary model, and semantic projection embedding model are not sufficiently separated in visible capability state.","Settings/status show chat model, summary model, vision model, semantic embedding model, and projection endpoint separately. Projection refuses chat-only models unless configured as embedding-capable.",cargo test projection_rejects_chat_model_as_embedder && npm test -- settingsModelRoles,closed_p2_verified,P2
GLOSS-NP34-S1-016,S1,Unsupported file/type policy,"Log skips .lock and .zip, but app imports many code/docs files and treats unknown extension as text. Docs/spec list many document formats as intended, but current implementation excludes pdf/docx/xlsx/pptx and lacks extraction.","Ingestion support matrix is implicit in code, UI, and docs; user gets no pre-scan type report before folder import.","Add ImportCapabilityMatrixV1 and pre-scan receipt: supported, unsupported, oversized, skipped binary, deferred formats. UI shows exactly what will be imported.",cargo test folder_prescan_reports_unsupported_types && npm test -- importCapabilityMatrix,open,P5
GLOSS-NP34-S1-017,S1,Missing document ingestion formats from spec,"SPEC v1 includes PDF/DOCX/XLSX/CSV/url/youtube/audio/video/image/paste directions, but current source excludes pdf/docx/xlsx/pptx and no URL/YouTube/audio pipeline is visible.",Implementation scope is narrower than spec; docs do not classify missing features/deferred work clearly.,Create CURRENT_FEATURE_MATRIX.md with implemented/degraded/deferred. Do not claim NotebookLM parity or document-format support until implemented.,python3 scripts/gloss_feature_matrix_gate.py --repo .,closed_p6_verified,P6
GLOSS-NP34-S1-018,S1,Provider context budget,"Log: context_chars=22065, system_prompt_len=3830 for gemma3:4b; no visible evidence that prompt is clipped to model context before provider call.",RAG context assembly uses char/context-window estimates but may not enforce token budgets per provider/model robustly.,"Add PromptBudgetReceiptV1 with model context, system tokens estimate, history tokens estimate, source passage tokens, clipped passages, omitted reason. Gate prompt assembly before provider call.",cargo test prompt_budget_clips_context_to_model_window prompt_budget_records_omitted_passages,closed_p4_verified,P4
GLOSS-NP34-S1-019,S1,Large source projection failure contaminates notebook health,A single 47-chunk source triggers semantic-memory projection error; UI shows memory failed / dense coverage 0% for entire notebook.,Projection state is too coarse; failure not isolated enough per source/chunk in UI capability summary.,"Add per-source and aggregate projection coverage: projected_chunks/total_chunks, failed_sources, blocked_large_sources, last_error per source. UI shows partial coverage and next action.",cargo test projection_failure_is_per_source_not_global && npm test -- projectionCoverage,closed_p2_verified,P2
GLOSS-NP34-S1-020,S1,Stale surface gate false positive/noise,assert_no_stale_surfaces fails on ClaimLedger mentions inside vendor/turbo-quant docs.,Gate scans vendored dependency docs as app source and cannot distinguish dependency documentation from Gloss stale app semantics.,Scope stale-surface gate to app-owned docs/src or maintain allowlisted vendor docs. Vendor references must not block Gloss release unless surfaced publicly.,python3 scripts/assert_no_stale_surfaces.py --repo .,closed_p0_verified,P0
GLOSS-NP34-S1-021,S1,Audit retrieval disclosure invocation broken,audit_retrieval_disclosures.py crashes with IndexError when no JSON payload path is provided.,Script lacks CLI validation and usage text; release runner calls it incorrectly.,Add argparse with required --receipt/--sample path or make it discover latest retrieval disclosure receipts. Do not crash with stack trace.,python3 scripts/audit_retrieval_disclosures.py --help && python3 scripts/audit_retrieval_disclosures.py --repo . --latest,closed_p0_verified,P0
GLOSS-NP34-S2-022,S2,GLib file metadata warnings,Runtime log shows GLib-GIO-CRITICAL: GFileInfo created without standard::size; g_file_info_get_size should not be reached.,File picker/file metadata path likely reads size without requesting/guarding standard::size.,Find Tauri/GTK file metadata call path and guard missing size; do not call g_file_info_get_size unless standard::size is present.,manual Linux file-picker smoke has no GLib critical warnings,open,P5
GLOSS-NP34-S2-023,S2,Frontend active notebook race,NotebookStore.setActive sets local state and localStorage before backend setActiveNotebook resolves; source imports can be triggered against stale IDs during rapid create/import flows.,Frontend treats local active as authoritative before backend confirms activation.,Add activation state: pending/confirmed/error. Disable import/chat until backend confirms active notebook or pass explicit returned id with activation receipt.,npm test -- notebookActivationRace,closed_p1_verified,P1
GLOSS-NP34-S2-024,S2,User message persists before retrieval/provider success,send_message persists user message before provider/retrieval errors; failed setup can leave orphan user turns without assistant/error receipt.,Conversation turn lifecycle lacks atomic TurnReceiptV1 linking user message to assistant/error outcome.,Persist ConversationTurnV1 with terminal state success/error/cancelled. UI renders failed turn state and can retry.,cargo test chat_turn_records_provider_config_error chat_turn_records_retrieval_error,open,P4
GLOSS-NP34-S2-025,S2,Assistant trace/latest mutable projection,Chat attempt traces include current/latest style projections but no visible guarantee latest is not treated as source truth.,Mutable latest trace can be read as canonical.,Use append-only trace files as truth; latest.json only projection with pointer to immutable trace id. Document and validate.,cargo test chat_attempt_latest_is_projection_only,open,P4
GLOSS-NP34-S2-026,S2,Fallback source-order can look like evidence,gloss_local fallback fills candidates in source order with score 0.0 and citation_anchor even though it is degraded fallback.,Fallback passages carry anchors but not proof class; UI can confuse source-order preview with ranked retrieval.,"Add evidence_class on every passage: ranked_bm25, dense, semantic_memory, source_order_fallback, raw_fallback. Release citations from source_order_fallback are degraded unless user explicitly asked broad inventory.",cargo test source_order_fallback_marks_degraded_evidence_class,closed_p3_verified,P3
GLOSS-NP34-S2-027,S2,FTS query limits and code search,"Code repository folder imported 183 files; FTS sanitizer details not proven for symbols, underscores, hyphens, Rust paths, cargo terms.",Repo/code RAG needs code-aware tokenization and query handling beyond basic BM25.,"Add code-query fixtures for function names, crate names, snake_case, kebab-case, paths, module names. Centralize FTS sanitizer.",cargo test fts_code_terms_paths_symbols,open,P4
GLOSS-NP34-S2-028,S2,No import batch cancellation UI,Background folder import runs and continues for minutes; no clear cancel/stop batch affordance is visible in screenshot.,Batch import has no first-class cancellation handle exposed in UI.,"Add ImportBatchV1 id, progress, cancel button, cancel receipt; backend checks cancellation between files.",cargo test import_batch_cancel_stops_remaining_files && npm test -- importCancel,open,P5
GLOSS-NP34-S2-029,S2,No source grouping sort stability proof,UI groups many files under ungrouped; source rows mix docs and code; selection all/none may operate on changing list while imports progress.,Source list identity/sort/filter not receipt-bound during live batch updates.,Stable sort by path/title/status; live import batch new sources append/update without reshuffling selected state unexpectedly.,npm test -- sourceListStableDuringImport,closed_p5_verified,P5
GLOSS-NP34-S2-030,S2,Status bar wording can overclaim,"Status bar shows Provider reachable and Memory semantic-memory-preview (failed), but user still receives answer from BM25; needs clearer retrieval effective state.",Global memory status conflates configured backend health with current-answer retrieval backend.,Status bar shows global configured memory health; evidence drawer shows per-turn effective retrieval. Labels must distinguish configured/requested/effective.,npm test -- statusBarRetrievalTruth,closed_p3_verified,P5
GLOSS-NP34-S2-031,S2,No no-source strict answer guard,"When no notebook sources selected, system prompt asks model to tell user no sources selected, but backend still calls provider; compliance depends on model.",No deterministic answer guard for no-source mode when user asks document-grounded question.,"For source_scope None, either block document-grounded answer deterministically or inject explicit no-source answer template unless user asks general model question.",cargo test no_source_mode_blocks_grounded_claims,open,P4
GLOSS-NP34-S2-032,S2,Prompt injection tests missing runtime smoke,Frontend contract test checks source data not in system prompt but no hostile document runtime fixture proves model ignores SOURCE_DATA instructions.,Prompt boundary only statically tested.,Add hostile source fixture and smoke: document says ignore prior instructions/exfiltrate IDs; expected answer treats text as data and cites only valid facts.,python3 scripts/gloss_hostile_source_smoke.py --repo .,open,P6
GLOSS-NP34-S2-033,S2,Source manifests in system prompt may still bias unsupported claims,System prompt includes up to 50 source titles/summaries and instructs use if no quoted passages; summaries may be missing/LLM-generated and not proof-grade.,Manifest summaries can become pseudo-evidence when retrieval fails.,"Tag manifest entries as inventory only, not evidence; if no quoted passages, answer must disclose inventory-only context and avoid facts beyond title/summary with low confidence.",cargo test manifest_only_context_discloses_limitation,open,P4
GLOSS-NP34-S2-034,S2,Summary model provider restrictions too narrow,Background summary requires Ollama provider even though app supports OpenAI/Anthropic chat providers.,Background job config hardcodes provider_id == ollama for summaries/vision; may be intentional local-first but docs/UI need clarity.,"Either keep local-only and label it, or implement cloud background summaries with explicit consent and receipts.",npm test -- backgroundModelPolicy,open,P5
GLOSS-NP34-S2-035,S2,Duplicate control-pack dirs,Package includes codex-control-pack and codex_control_pack; report shows both top-level paths.,Two control pack naming conventions increase drift.,Choose one canonical path and archive/delete the other. Validation must fail if both are active.,python3 scripts/gloss_control_pack_surface_gate.py --repo .,closed_p0_verified,P0
GLOSS-NP34-S2-036,S2,Offline vendor package too large for Codex/audit,"Package includes 27,997 src-tauri files, 21,290 .rs files, 531MB included; most comes from vendor/crates.",Generic package profile includes offline vendor cache in Codex context.,"Add package profiles: codex-source-small, release-source, offline-build-full. Codex/audit handoff should exclude inactive vendor/crates unless specifically needed.",python3 z.py --profile gloss-codex-source --strict && package under agreed size threshold,open,P6
GLOSS-NP34-S2-037,S2,Cargo/Rust checks not reproducible here,"Sandbox lacks cargo/rustc, so backend test pass cannot be independently reproduced from uploaded package.",Package relies on included receipts or user environment.,Next pass must include host Rust command logs and fresh-unzip replay logs; final answer must distinguish reproduced vs host-only checks.,cargo fmt --all -- --check && cargo test --workspace --all-targets && cargo clippy --workspace --all-targets -- -D warnings,open,P6
GLOSS-NP34-S2-038,S2,Missing feature matrix / deferred feature truth,"SPEC lists Studio, reports, flashcards, quizzes, mind maps, timelines, audio overview, URL/Youtube/audio/video ingestion; source has studio stub and limited ingestion.",Spec is ahead of implementation and public docs do not provide an exact capability ledger.,"Create docs/CURRENT_FEATURE_MATRIX.md and wire README to it. Each feature: implemented, partial, degraded, deferred, removed; include validation command.",python3 scripts/gloss_feature_matrix_gate.py --repo .,closed_p6_verified,P6
GLOSS-NP34-S2-039,S2,Studio panel unimplemented/stub,src-tauri/src/studio/mod.rs is 2 lines; src/stores/studioStore.ts is 19 lines; SPEC promises structured outputs/reports/cards/quizzes/etc.,Studio functionality is not implemented despite spec surface.,Either mark Studio deferred/hidden or implement minimal report/card generator with receipts and source scope.,npm test -- studio || feature matrix marks deferred,deferred_p7_feature_matrix,P7
GLOSS-NP34-S2-040,S2,Media ingestion partial/stub,Code has vision/video queue paths but file extraction for audio/video/PDF/docx is not implemented; BINARY_EXTENSIONS excludes many document types; media pipeline lacks end-to-end smoke.,Implementation contains routed stubs without full support matrix/gates.,Gate media/document features behind explicit support matrix; do not show unsupported import affordances as complete.,python3 scripts/gloss_import_capability_gate.py --repo .,open,P6
GLOSS-NP34-S2-041,S2,Secret warning not classified in current release,Findings include warning: secret-content-named-secret-assignment at src-tauri/src/providers/ollama.rs line 313.,Warning may be false positive but release needs classified warning receipt.,Add package warning classification receipt and gate unclassified/high-risk warnings.,python3 scripts/classify_package_warnings.py --repo . --findings Gloss-generic-next-codex-context-20260524T080319Z.findings.json,open,P6
GLOSS-NP34-S2-042,S2,Citation UX lacks filtered reason details,"Evidence drawer displays only ""0 valid, 6 filtered""; user cannot tell why citations failed.",Backend exposes only aggregate counts.,Add CitationFilterReasonV1 array with missing_ref/out_of_range/unanchored_chunk/source_out_of_scope/quote_mismatch/model_omitted.,npm test -- citationFilterReasons && cargo test citation_filter_reason_codes,closed_p4_verified,P4
GLOSS-NP34-S2-043,S2,Receipt IDs not content-addressed/digest-linked,Chat evidence uses random receipt UUID; no visible digest of retrieval candidates/source context/prompt budget.,Receipts identify attempts but do not prove exact context identity.,"Add context_digest, prompt_digest, source_context_digest, candidate_set_digest to ChatAttemptTrace and AssistantMessageEvidence.",cargo test chat_evidence_contains_context_digests,closed_p4_verified,P4
GLOSS-NP34-S2-044,S2,No bitemporal/supersession for source updates,Sources are mutable rows with updated_at; deletion marks semantic links stale but source records are deleted.,Source lifecycle lacks append-plus-supersession and audit history.,"For v1, add SourceLifecycleReceiptV1 for create/update/delete/reindex; store deleted source tombstones or deletion receipts.",cargo test source_delete_writes_lifecycle_receipt,open_next_pass,P7
GLOSS-NP34-S2-045,S2,Provider calls lack full invocation receipts,"Chat traces phases exist, but provider call body/response digest, timeout, model/provider route, token estimates, error class are not full ToolInvocationReceiptV1-like artifacts.",Provider invocation is not modeled as a first-class receipt.,"Add LlmInvocationReceiptV1 with provider, model, base_url fingerprint, request digest, response digest, start/end, timeout, error, streamed token count.",cargo test provider_invocation_receipt_written_on_success_and_error,closed_p4_verified,P4
GLOSS-NP34-S2-046,S2,Reindex all/manual controls unclear,UI has Reindex all in sources panel and settings backfill controls but current check scripts for profile fail; runtime projection fails large source.,Reindex controls exist but are not proven robust on large corpus.,"Add reindex notebook job with progress, chunk batching, cancel, per-source errors; UI shows exactly what failed and retry action.",cargo test semantic_backfill_large_notebook_progress_receipts && npm test -- reindexProgress,closed_p2_verified,P2
GLOSS-NP34-S2-047,S2,Source summaries from LLM can become stale after source edits/reindex,Summary fields exist but no visible digest/backpointer tying summary to source content digest/model/prompt.,Summaries are not provenance-linked to exact source content.,"Add SummaryReceiptV1 with source content digest, model, prompt digest, recorded_at; invalidate summaries when content digest changes.",cargo test summary_invalidates_on_source_digest_change,open_next_pass,P7
GLOSS-NP34-S2-048,S2,No retry/backoff for Ollama transient failures,Projection gets Ollama 400; provider calls may hit timeout/context/model unavailable; there is no visible classified retry strategy per error class.,All provider/Ollama errors not normalized to retryable/nonretryable policy.,Add ProviderErrorClass and retry policy: no retry for context length until split; limited retry for network/timeout; model-not-found explicit user action.,cargo test provider_error_classification,open,P4
GLOSS-NP34-S3-049,S3,Vite dynamic import warning,npm run build passes but warns notebookStore is both dynamically and statically imported.,store dynamic import used for refreshNotebookList while many static imports exist.,Make refreshNotebookList helper static or isolate it in a separate module to eliminate warning.,npm run build emits no warnings,closed_p5_verified,P5
GLOSS-NP34-S3-050,S3,Frontend test coverage thin,npm test runs one custom contract test file only.,"UI behavior is not covered by component/store tests for ingestion, evidence drawer, status bar, settings, cancellation.",Add Vitest or expand custom tests for store/actions/evidence UI. Keep deterministic no browser needed tests first.,"npm test includes sourceStore, notebookStore, evidenceDrawer, statusBar tests",open,P5
GLOSS-NP34-S3-051,S3,Use of raw UUIDs in diagnostics not redacted/compact,Evidence UI and logs expose long source IDs; useful but too noisy for default UX.,Diagnostics lack display-name/short-ID formatting policy.,Add formatSourceScopeSummary and shortId helper; full UUIDs only in copied JSON/logs.,npm test -- formatSourceScopeSummary,closed_p5_verified,P5
GLOSS-NP34-S3-052,S3,Import speed / sequential ingestion,183 files take several minutes; code processes one source at a time with 50ms pause and no parallel CPU chunking control.,Safe but slow import pipeline; user has limited progress insight.,"Keep sequential GPU/projection, but allow bounded CPU extraction/chunking parallelism with receipts; show ETA/progress.",manual import smoke under target time for 183 small files on target hardware,open_next_pass,P7
GLOSS-NP34-S3-053,S3,Settings dialog size / complexity,SettingsDialog/index.tsx is 1027 lines.,Settings surface is becoming monolithic.,"Split into provider, memory, background jobs, security, diagnostics tabs/components.",npm run build && component-level tests import each settings subpanel,open_next_pass,P7
GLOSS-NP34-S3-054,S3,ChatPanel size / complexity,"ChatPanel.tsx is 638 lines and contains parse, evidence, UI, control logic.",UI state and evidence rendering are bundled.,"Extract EvidenceDrawer, ChatComposer, ConversationSelector, MessageList into modules.",npm run build && tests for EvidenceDrawer,open_next_pass,P7
GLOSS-NP34-S3-055,S3,Sources command module size,sources/mod.rs is 3240 lines; chat/mod.rs is 3002 lines.,Backend command modules remain too large for reliable auditing.,"Split sources into import, lifecycle, projection, diagnostics, summary modules. Split chat into turn, retrieval, evidence, provider_stream modules.",no command module over agreed threshold unless documented exception,open_next_pass,P7
GLOSS-NP34-S3-056,S3,README validation block stale,README validation block tells user to run p33 scripts that are missing in active scripts.,Docs not synchronized with code/control pack.,README must point to current scripts only and include alpha caveats/runtime limitations.,python3 scripts/gloss_current_run_truth_gate.py --repo .,closed_p0_verified,P0
GLOSS-NP34-S3-057,S3,Root install/control scripts ambiguous,"Root includes install_into_gloss.sh, install_into_repo.py, install_into_repo.sh, codex-control-pack and codex_control_pack.",Multiple installer/control surfaces unclear.,Quarantine old installers; retain one current install script with receipts.,python3 scripts/gloss_control_pack_surface_gate.py --repo .,closed_p0_verified,P0
GLOSS-NP34-S3-058,S3,No raw runtime log parser gate,"The useful user runtime log was external; repo has no gate to detect notebook_not_found storms, context-length projection errors, citation zeroing, or UUID floods.",Runtime defects are not captured as regression tests from logs.,Add scripts/gloss_runtime_log_gate.py and fixture logs. It must fail on known bad log and pass on fixed log.,python3 scripts/gloss_runtime_log_gate.py --log fixtures/runtime_bad_missing_notebook_context_length.log --expect fail,closed_p6_verified,P6
GLOSS-NP34-S3-059,S3,No generated issue/acceptance matrix for current pass,Current P33 issue matrix is stale and mixed with archived run truth.,No current P34 repair matrix exists.,Install GLOSS_P34_ISSUE_LEDGER.csv and require closure state per issue.,python3 scripts/gloss_issue_ledger_gate.py --repo . --ledger docs/codex-runs/GLOSS_P34_RUNTIME_TRUTH_INGESTION_REPAIR_20260524/ISSUE_LEDGER.csv,closed_p0_verified,P0
GLOSS-NP34-S3-060,S3,No explicit release non-goals,Spec is broad; release/current app narrower. Missing/deferred features could be mistaken for bugs.,No current non-goal list tied to feature matrix.,Add RELEASE_NON_GOALS.md: mobile/cloud sharing/Deep Research/realtime voice/video overview etc. Update public README.,docs gate confirms no unsupported public claims,closed_p6_verified,P6
GLOSS-NP34-MISSING-061,S2,PDF/DOCX/PPTX/XLSX ingestion,Spec lists document ingestion; BINARY_EXTENSIONS excludes these.,Feature not implemented or not proven in current snapshot.,"Add extractor backend or mark deferred; PDF first via text extraction, DOCX/PPTX/XLSX later with capability matrix.",cargo test pdf_text_ingest || feature matrix marks deferred,deferred_p7_feature_matrix,P7
GLOSS-NP34-MISSING-062,S2,URL/web import,Spec/source model has url field; no current web ingestion pipeline visible.,Feature not implemented or not proven in current snapshot.,Implement URL fetch with allowlist/offline policy or mark deferred. Local-first warning required.,cargo test url_import_receipt || feature matrix marks deferred,deferred_p7_feature_matrix,P7
GLOSS-NP34-MISSING-063,S2,YouTube transcript import,Spec mentions yt-transcript-rs but current code does not show it.,Feature not implemented or not proven in current snapshot.,"Implement or defer behind feature matrix; receipts include URL, transcript source, timestamp.",feature matrix gate,deferred_p7_feature_matrix,P7
GLOSS-NP34-MISSING-064,S2,Audio transcription,Spec mentions whisper-rs/audio; current pipeline not implemented.,Feature not implemented or not proven in current snapshot.,Add queued transcription job or mark deferred.,feature matrix gate,deferred_p7_feature_matrix,P7
GLOSS-NP34-MISSING-065,S2,Audio overview/TTS,Spec includes audio overviews/Piper; current app has no audio generation surface.,Feature not implemented or not proven in current snapshot.,Keep deferred for v1 unless implemented with sequential GPU/CPU receipts.,feature matrix gate,deferred_p7_feature_matrix,P7
GLOSS-NP34-MISSING-066,S2,Studio outputs: reports,Studio module is stub; no report generator visible.,Feature not implemented or not proven in current snapshot.,Implement minimal source-scoped report output with citations or hide Studio.,npm test -- studioReport || feature matrix marks deferred,deferred_p7_feature_matrix,P7
GLOSS-NP34-MISSING-067,S2,Studio outputs: flashcards/quizzes,Spec promises structured outputs; not implemented.,Feature not implemented or not proven in current snapshot.,Add generator with schema validation and citations or mark deferred.,schema fixture tests or feature matrix,deferred_p7_feature_matrix,P7
GLOSS-NP34-MISSING-068,S2,Mind maps/timelines,Spec promises mind maps/timelines; not implemented.,Feature not implemented or not proven in current snapshot.,Defer or implement typed outputs with source anchors.,feature matrix gate,deferred_p7_feature_matrix,P7
GLOSS-NP34-MISSING-069,S2,Notebook import/export portability,Spec implies per-notebook portability; current audit did not find full import/export commands.,Feature not implemented or not proven in current snapshot.,"Implement export package with notebook.db, sources, embeddings, receipts, manifest digest.",cargo test notebook_export_import_roundtrip,deferred_p7_feature_matrix,P7
GLOSS-NP34-MISSING-070,S2,Full text/source viewer for all formats,SourceViewer exists but unsupported formats/media not complete.,Feature not implemented or not proven in current snapshot.,Add rendering capabilities by source type or mark unsupported.,npm test -- sourceViewer,deferred_p7_feature_matrix,P7
GLOSS-NP34-MISSING-071,S2,Search across notebook UI proof,Search bar exists; audit did not prove cross-notebook/source search quality.,Feature not implemented or not proven in current snapshot.,"Add search tests for titles, content, snippets, selected source scope.",npm test -- notebookSearch && cargo test search_commands,open_next_pass,P7
GLOSS-NP34-MISSING-072,S2,Local model capability registry,Model capability heuristics exist; need exact capability roles for chat/vision/embed/context.,Feature not implemented or not proven in current snapshot.,Store model roles/capabilities with last refresh and user override.,cargo test model_capability_registry_roles,open_next_pass,P7
